date,media_cost_1,media_cost_2,media_cost_3,media_cost_4,holidays,trend,competitor_spend,weekly,yearly,covid_index,promo_events,intercept
2020-08-16,0.0,0.0,0.0,0.0,0.0,7587.41794988112,-1338.5696768446414,6546.215846533359,-5416.802030906551,3981.444809186774,0.0,1921.4749842330652
2020-08-23,0.0,0.0,0.0,0.0,0.0,7595.990673371825,-266.0205855140627,6546.215846533361,-6409.229382931904,4168.075034617423,0.0,1921.4749842330652
2020-08-30,0.0,0.0,0.0,0.0,0.0,7604.563396862585,-1096.1907105643727,6546.215846533359,-7711.198787664843,3919.2347340432457,0.0,1921.4749842330652
2020-09-06,0.0,0.0,0.0,0.0,2375.702903004717,7613.136120353274,-249.44758146844697,6546.215846533361,-8584.340006053999,3421.5541328949002,0.0,1921.4749842330652
2020-09-13,0.0,0.0,0.0,0.0,0.0,7621.708843843997,-123.62525680939025,6546.215846533361,-7276.691606350121,3421.5541328949002,0.0,1921.4749842330652
2020-09-20,0.0,0.0,0.0,0.0,0.0,7630.281573823513,-718.158637095931,6546.215846533361,-2583.093784686719,3421.5541328949002,0.0,1921.4749842330652
2020-09-27,0.0,0.0,0.0,0.0,0.0,7638.854303802981,-43.278826555330355,6546.215846533361,4329.5551431629265,3421.5541328949002,0.0,1921.4749842330652
2020-10-04,1506.7010101029261,27.81812632599008,2941.041636674585,1162.188726470811,0.0,7647.42703378245,-18.22933014070755,6546.215846533359,10059.805748335646,3421.5541328949002,26049.000970782923,1921.4749842330652
2020-10-11,394.27303712463566,1882.9624183438727,4289.709973748637,333.2715932728954,-3692.0947875301613,7655.999763761981,-24.73771738495813,6546.215846533361,11520.57948108081,3732.6045086126132,26049.000970782923,1921.4749842330652
2020-10-18,122.02307653819433,2262.6495883216426,4482.543842811858,130.23714626348894,0.0,7664.572493741444,-28.51316657230398,6546.215846533361,8637.334162324722,4168.075034617423,0.0,1921.4749842330652
2020-10-25,50.29424312989032,1073.5245418920597,2920.533156754501,63.286148709584765,0.0,7673.145223720955,-67.32965576555819,6546.215846533361,4422.645195534433,4230.285109760957,0.0,1921.4749842330652
2020-11-01,24.427739148028245,599.8184903172122,2000.5131784942157,35.17126365252774,0.0,7681.717954251814,-291.6156952305988,6546.215846533361,2204.705454202349,4354.705260048053,0.0,1921.4749842330652
2020-11-08,46.954022405360824,381.1262297822289,1382.6570587191452,21.3925280487392,2400.4814349274566,7690.290684782646,-363.92407237611354,6546.215846533361,2751.1263650189376,4354.705260048053,0.0,1921.4749842330652
2020-11-15,46.89398022446642,260.6821526745951,1003.3997520983484,13.88541697419724,0.0,7698.863415313576,-163.6060458165485,6546.215846533361,4127.792750449533,4354.705260048053,0.0,1921.4749842330652
2020-11-22,24.306160757691497,266.8904822621053,1085.7522298918914,9.46857426653828,4899.076934846267,7707.4361458443955,-280.50369575145487,6546.215846533361,4208.946875107935,4354.705260048053,0.0,1921.4749842330652
2020-11-29,8.397204572020419,373.26707567996567,1129.6510337101358,0.0,0.0,7716.008876375267,-152.36738610660416,6546.215846533361,3012.484442531589,4665.755635765784,0.0,1921.4749842330652
2020-12-06,2.68884297306434,767.2044949647351,1250.8634052352963,375.65257998760114,0.0,7724.581604660426,-52.65168363462557,6546.215846533361,2430.4592312052087,4727.965710909306,0.0,1921.4749842330652
